tag,culture,religion,source,confidence,note
PHL,antq_philippine,antq_mahayana,P8.9;P10;P11;CAH-XI,contested,Philippine community frame aligned to its archipelagic population atlas
PYU,antq_pyu,antq_mahayana,P8.9;P10;P11;CAH-XI,contested,Pyu city frame aligned to the Irrawaddy population atlas
WMS,antq_purepecha_precursor,antq_mesoamerican,P8.10;P10;P11;CAH-XI,contested,West Mexican community frame aligned to its Purepecha-precursor population atlas
MAH,antq_samhan,antq_korean_muism,P8.3;P10;P11;SAM,contested,Mahan is aligned to the southern Korean Samhan population atlas
DNG,antq_dingling,antq_tengri,P8.8;P10;P11;CAH-XI,contested,Dingling community frame aligned to its population atlas
KHM,antq_khmer,antq_mahayana,P8.9;P10;P11;CAH-XI,contested,Proto-Khmer community frame aligned to its lower-Mekong population atlas
MAL,antq_malay,antq_mahayana,P8.9;P10;P11;CAH-XI,contested,Malay polity frame aligned to its peninsula population atlas
BOR,antq_bornean,antq_mahayana,P8.9;P10;P11;CAH-XI,contested,Bornean community frame aligned to its island population atlas
TON,antq_tongan,antq_austronesian_religion,P8.9;P10;P11;CAH-XI,contested,Western Polynesian frame aligned to its Tongan population plurality
EPI,antq_mixe_zoquean,antq_mesoamerican,P8.10;P10;P11;CAH-XI,contested,Epi-Olmec frame aligned to its Mixe-Zoquean population atlas
HOP,antq_adena_woodland,antq_north_american,P8.10;P10;P11;CAH-XI,contested,Hopewell interaction-sphere frame aligned to the local Woodland population atlas
ARA,antq_chibchan,antq_caribbean,P8.10;P10;P11;CAH-XI,contested,Caribbean-Amazon residual frame aligned to its Chibchan population plurality
BNT,antq_ngovo,antq_bantu_religion,SCI-CONGO-RAINFOREST;NGOVO-GROUP;P8.5;P10;P11,contested,Ngovo material-horizon frame without a centralized-state or single-ethnicity claim
URW,antq_urewe,antq_bantu_religion,JAH-BANTU-MOBILITY;AZA-UREWE;P8.5;P10;P11,contested,Urewe material-horizon frame; pottery does not determine language or political identity
KWL,antq_kwale,antq_bantu_religion,QI-EAFRICA;UC-MOMBASA;P8.5;P10;P11,contested,Kwale coastal material-horizon and mixed-economy frame
RUV,antq_ruvuma_lurio,antq_bantu_religion,QI-EAFRICA;JAH-BANTU-MOBILITY;P8.5;P10;P11,contested,Ruvuma-Lurio migration-frontier frame
LMP,antq_limpopo_hunter_herder,antq_bantu_religion,OUP-SOUTH-AFRICA;JAH-BANTU-MOBILITY;P8.5;P10;P11,contested,Technical local-traditions fallback for a pre-farmer hunter-herder frame; it is not a Bantu-identity claim
ZHF,antq_zambezi_forager,antq_bantu_religion,OUP-SOUTH-AFRICA;JAH-BANTU-MOBILITY;P8.5;P10;P11,contested,Technical local-traditions fallback for a pre-farmer hunter-herder frame; it is not a Bantu-identity claim
WDP,antq_wadai_plateau,antq_west_african,MEGACHAD-WADAI;P8.5;P10;P11,contested,Eastern Chadian plateau community frame without the later sultanate
BCH,antq_post_nok,antq_west_african,OUP-NOK;P8.5;P10;P11,contested,Post-Nok Bauchi plateau community frame
BAR,antq_northern_horn_coastal,antq_nile_cushitic,AJA-SOMALILAND;PME-BARBARIA;P8.5;P10;P11,contested,Guban and Berbera-hinterland mobile pastoral profile
AVA,antq_northern_horn_coastal,antq_nile_cushitic,PME-BARBARIA;AJA-SOMALILAND;P8.5;P10;P11,contested,Avalites port-community profile without an ethnic-uniformity claim
MLA,antq_northern_horn_coastal,antq_nile_cushitic,PME-BARBARIA;AJA-SOMALILAND;P8.5;P10;P11,contested,Malao port-community profile without an ethnic-uniformity claim
MUN,antq_northern_horn_coastal,antq_nile_cushitic,PME-BARBARIA;AJA-SOMALILAND;P8.5;P10;P11,contested,Mundu and Xiis exchange-community profile
MOS,antq_northern_horn_coastal,antq_nile_cushitic,PME-BARBARIA;AJA-SOMALILAND;P8.5;P10;P11,contested,Mosyllon candidate port-community profile
ARO,antq_northern_horn_coastal,antq_nile_cushitic,PME-BARBARIA;AJA-SOMALILAND;P8.5;P10;P11,contested,Aromata Emporion and incense-coast profile
OPO,antq_northern_horn_coastal,antq_nile_cushitic,PME-BARBARIA;AJA-SOMALILAND;UOA-PERIPLUS;P8.5;P10;P11,contested,Opone port-community profile
HAU,antq_horn_pastoral,antq_nile_cushitic,AJA-SOMALILAND;P8.5;P10;P11,contested,Interior Horn mobile pastoral profile
AZA,antq_northern_azanian,antq_nile_cushitic,PME-BARBARIA;P8.5;P10;P11,contested,Northern Azanian coast and river-course profile
PLA,antq_hopewellian,antq_north_american,P8.10;P10;P11;CAH-XI,contested,Plains and coastal residual frame aligned to its Hopewellian population plurality
CAU,antq_kartvelian,antq_arsacid_zoroastrianism,P8.2;P10;P11;CAH-XI,contested,Caucasian highland residual frame aligned to its Kartvelian population plurality
MNC,antq_yilou,antq_tengri,P8.3;P10;P11;CAH-XI,contested,Manchurian community frame aligned to its Yilou population atlas
TIB,antq_tibeto_burman,antq_arsacid_zoroastrianism,P8.8;P10;P11;CAH-XI,contested,Tibetan community frame aligned to its Tibeto-Burman population atlas
MIC,antq_micronesian,antq_austronesian_religion,P8.9;P10;P11;CAH-XI,contested,Micronesian community frame aligned to its island population atlas
GER,antq_angrivarian,antq_germanic_religion,P8.7;P10;TAC-ANN-II;TAC-GER;OCD-GER,contested,Angrivarian Weser-Elbe people-polity adapter; no homogeneous state or exact frontier is inferred
AES,antq_aestian,antq_baltic_slavic,P8.7;P10;TAC-GER;OCD-GER,contested,Sambian amber-coast Aestii frame; Tacitus's plural ethnonym does not establish a centralized state
WBB,antq_west_balt_barrows,antq_baltic_slavic,P8.7;P10;PAN-WBB,contested,West Balt Barrow archaeological frame at its AD 1 terminal horizon; not an ethnic polity
BPC,antq_brushed_pottery_baltic,antq_baltic_slavic,P8.7;P10;VU-BRUSH,contested,Brushed Pottery hillfort-settlement archaeological frame; not an ethnic polity
WSC,antq_west_lithuanian_circle,antq_baltic_slavic,P8.7;P10;LIT-WLSC,contested,West Lithuanian stone-circle archaeological frame; not an ethnic polity
ETG,antq_early_tarand,antq_baltic_slavic,P8.7;P10;UT-TARAND,contested,Early tarand-grave archaeological horizon; technical religious and culture grouping does not settle ethnicity
FIN,antq_finnic_culture,antq_finnic,P8.7;P10;TAC-GER;OCD-GER,contested,Fenni is a later classical display adapter over the Finnish campaign frame; no state or exact tribal boundary is inferred
