location,opening_owner,local_culture,local_language,local_name,roman_name,source,confidence,note
schaffhausen,SUE,antq_suebian,antq_germanic_language,Vitudurum,Vitudurum,PLE:187624;PLN:187624/vitudurum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
schleiden,CTU,antq_istvaeonic,antq_germanic_language,Marcomagus,Marcomagus,PLE:109141;PLN:109141/marcomagus;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
shrewsbury,CNV,antq_british_cornovian,antq_celtic_language,Uxacona,Uxacona,PLE:79727;PLN:79727/uxacona;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
simmern,CTU,antq_istvaeonic,antq_germanic_language,Vosolvia,Vosolvia,PLE:109444;PLN:109444/vosolvia;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
sinsheim,SUE,antq_suebian,antq_germanic_language,Saliobriga,Saliobriga,PLE:118948;PLN:118948/saliobriga;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
sliven,THR,antq_thracian,antq_balkan_language,Beroe,Beroe,PLE:216731;PLN:216731/beroe;T2U,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
stafford,CNV,antq_british_cornovian,antq_celtic_language,Pennocrucium,Pennocrucium,PLE:79638;PLN:79638/pennocrucium;T2,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
stratford,DOB,antq_dobunnic,antq_celtic_language,Alauna,Alauna,PLE:79288;PLN:79288/alauna;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
strelcha,THR,antq_thracian,antq_balkan_language,Bessapara,Bessapara,PLE:216732;PLN:216732/bessapara;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
tamworth,CNV,antq_british_cornovian,antq_celtic_language,Letocetum,Letocetum,PLE:79559;PLN:79559/letocetum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
the_hague,BTV,antq_batavian,antq_germanic_language,Lugdunum,Lugdunum,PLE:99003;PLN:99003/lugdunum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
traianopolis,THR,antq_thracian,antq_balkan_language,Traianoupolis,Traianoupolis,PLE:501649;PLN:501649/traianoupolis;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
tubingen,SUE,antq_suebian,antq_germanic_language,Sumelocenna,Sumelocenna,PLE:118985;PLN:118985/sumelocenna;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
uberlingen,SUE,antq_suebian,antq_germanic_language,Überlingen,Constantia,PLE:187352;PLN:187352/constantia;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
ustra,THR,antq_bessian,antq_balkan_language,Porsulae,Porsulae,PLE:501574;PLN:501574/porsulae;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
vize,THR,antq_thracian,antq_balkan_language,Silta,Silta,PLE:511456;PLN:511456/silta;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
wasserburg,NAR,antq_suebian,antq_germanic_language,Pons Aeni,Pons Aeni,PLE:187516;PLN:187516/pons-aeni;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
wells,BLG,antq_british_belgic,antq_celtic_language,Lindinis,Lindinis,PLE:79565;PLN:79565/lindinis;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
weymouth,DUR,antq_durotrigian,antq_celtic_language,Durnonovaria,Durnonovaria,PLE:79431;PLN:79431/durnonovaria;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
wied,SGM,antq_istvaeonic,antq_germanic_language,Rigomagus,Rigomagus,PLE:109281;PLN:109281/rigomagus;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
wiesbaden,CHT,antq_chattic,antq_germanic_language,Wiesbaden,Aquae Mattiacorum,PLE:108750;PLN:108750/aquae-mattiacorum;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
winchester,ATB,antq_british_atrebatic,antq_celtic_language,Leucomagus,Leucomagus,PLE:79562;PLN:79562/leucomagus;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
wittlich,CTU,antq_istvaeonic,antq_germanic_language,Noviomagus Treverorum,Noviomagus Treverorum,PLE:109223;PLN:109223/noviomagus-treverorum;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
worcester,DOB,antq_dobunnic,antq_celtic_language,Vertis,Vertis,PLE:79738;PLN:79738/vertis;T2R,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
xanthia,THR,antq_thracian,antq_balkan_language,Abdera,Abdera,PLE:501323;PLN:501323/abdera;T2F,tier2,Pleiades-derived Roman-view alias on the existing reviewed engine-field proxy; overt Roman administrative forms retain a transparent local cartographic label.
