location,region,map_region,map_area,rule,old_topography,new_topography,old_vegetation,new_vegetation,climate,raw_material,source,confidence,note
celle,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
cervera,Rome,iberia_region,catalonia_area,iberian_wood_pasture_mosaic,plateau,plateau,grasslands,woods,oceanic,beeswax,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
cham,Germania,south_german_region,bavaria_area,germania_upland_forest,hills,hills,woods,forest,continental,lumber,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
chaoyang,China,south_china_region,guangdong_area,asian_rice_lowland,flatland,wetlands,woods,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
charef,Africa,maghreb_region,,african_aridity_gradient,plateau,plateau,grasslands,sparse,cold_arid,salt,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
chastoozerye,Steppe,west_siberia_region,omsk_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,fur,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
chengmai,China,south_china_region,haibei_hainan_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,tropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
chenqing,Steppe,manchuria_region,middle_amur_area,steppe_forest_mosaic,plateau,plateau,forest,woods,continental,lumber,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
chercher,Africa,ethiopia_region,central_ethiopia_area,african_aridity_gradient,hills,hills,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
chesnokovka,Steppe,west_siberia_region,suzun_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,lumber,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
chillupar,India,hindustan_region,bhojpur_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
choigan,Steppe,mongolia_region,tuva_area,steppe_forest_mosaic,plateau,plateau,forest,woods,continental,lumber,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
choszczno,Germania,north_german_region,pomerania_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,wild_game,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
clifden,Ireland,ireland_region,connaught_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,horses,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
clogher,Ireland,ireland_region,ulster_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,fiber_crops,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
cloppenburg,Germania,north_german_region,westphalia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
cobeta,Rome,iberia_region,toledo_area,iberian_wood_pasture_mosaic,hills,hills,grasslands,woods,oceanic,livestock,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
coburg,Germania,south_german_region,franconia_area,germania_upland_forest,hills,hills,woods,forest,continental,alum,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
coria,Rome,iberia_region,leon_area,iberian_atlantic_mosaic,flatland,flatland,grasslands,woods,mediterranean,horses,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
corlu,Balkans,balkan_region,thrace_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,fiber_crops,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
corneto,Rome,italy_region,lazio_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,fiber_crops,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
dabiq,Iran,crescent_region,levant_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,cotton,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
dacice,Germania,south_german_region,moravia_area,germania_upland_forest,plateau,plateau,woods,forest,continental,iron,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
dakkar,Africa,somalia_region,inner_somalia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,coffee,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
dangyang,China,east_china_region,hubei_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
dannenberg,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,sand,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
dara,Iran,crescent_region,levant_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,fruit,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
darmstadt,Germania,north_german_region,hesse_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,lead,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
dean,China,east_china_region,jiangxi_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
degehabur,Africa,somalia_region,inner_somalia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,stone,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
dekemhare,Africa,ethiopia_region,northern_ethiopia_area,african_aridity_gradient,hills,hills,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
delitzsch,Germania,north_german_region,upper_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,beeswax,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
deren,Steppe,manchuria_region,lower_amur_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,fish,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
detmold,Germania,north_german_region,westphalia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,salt,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
dhamtari,India,central_india_region,gondwana_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,tropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
diez,Germania,north_german_region,hesse_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,marble,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
dillenburg,Germania,north_german_region,hesse_area,germania_upland_forest,hills,hills,woods,forest,continental,wool,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
dilling,Africa,nubia_region,darfur_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
dillingen,Germania,south_german_region,swabia_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,fur,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
dingyuan,China,west_china_region,chuandong_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
djelfa,Africa,maghreb_region,,african_aridity_gradient,plateau,plateau,grasslands,sparse,cold_arid,alum,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
doberan,Germania,north_german_region,mecklenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,fish,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
domazlice,Germania,south_german_region,bohemia_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,fur,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
dongming,China,north_china_region,hebei_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,continental,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
dornoch,Britain,great_britain_region,scottish_highlands_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,wild_game,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
dovolnoye,Steppe,west_siberia_region,suzun_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,lumber,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
duderstadt,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
durg,India,central_india_region,gondwana_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,tropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
durness,Britain,great_britain_region,scottish_highlands_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,clay,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
ebersberg,Germania,south_german_region,bavaria_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,wild_game,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
ebstorf,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
eckernforde,Germania,scandinavian_region,denmark_area,germania_dense_woodland,flatland,flatland,woods,forest,oceanic,lumber,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
eichstatt,Germania,south_german_region,franconia_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,medicaments,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
einbeck,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
eisenberg,Germania,north_german_region,upper_saxony_area,germania_central_mosaic,hills,hills,grasslands,woods,continental,stone,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
eisleben,Germania,north_german_region,upper_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,copper,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
el_abiodh_sidi_cheikh,Africa,maghreb_region,,african_aridity_gradient,hills,hills,grasslands,sparse,cold_arid,wool,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
ellwangen,Germania,south_german_region,swabia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,medicaments,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
ely,Britain,great_britain_region,east_anglia_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,wheat,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
emuer,Steppe,manchuria_region,middle_amur_area,steppe_forest_mosaic,plateau,plateau,forest,woods,continental,millet,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
erbach_swabia,Germania,south_german_region,swabia_area,germania_central_mosaic,plateau,plateau,grasslands,woods,continental,clay,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
erris,Ireland,ireland_region,connaught_area,atlantic_wetland,wetlands,wetlands,sparse,woods,oceanic,fish,P8.6;PTO-GEO-II2;NMI-IRON-AGE,contested,Existing wetland receives a wooded Atlantic-margin presentation.
eschenbach,Germania,south_german_region,franconia_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,lumber,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
eschwege,Germania,north_german_region,hesse_area,germania_upland_forest,hills,hills,woods,forest,continental,salt,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
essen,Germania,north_german_region,westphalia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,coal,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
famagusta,Anatolia,anatolia_region,cilicia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,wheat,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
fancheng,China,east_china_region,hubei_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
fanxian,China,north_china_region,shandong_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,continental,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
feira,Rome,iberia_region,north_portugal_area,iberian_atlantic_mosaic,flatland,flatland,grasslands,woods,oceanic,iron,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
fengcheng_fengcheng,China,east_china_region,jiangxi_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
fengle,China,east_china_region,hubei_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
fengxian,China,east_china_region,huaidong_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,continental,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
fermoselle,Rome,iberia_region,leon_area,iberian_atlantic_mosaic,plateau,plateau,grasslands,woods,oceanic,wool,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
figueira,Rome,iberia_region,north_portugal_area,iberian_atlantic_mosaic,flatland,flatland,grasslands,woods,oceanic,fish,P8.6;IBERIA-NORTH-POLLEN;IBERIA-MOLINA,contested,Humid Atlantic Iberian non-cereal ground receives a woodland-mosaic presentation while documented upland heath and agricultural openings remain.
francavilla,Rome,italy_region,apulia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,cotton,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
frejus,Rome,france_region,provence_area,mediterranean_cultivation,hills,hills,grasslands,farmland,mediterranean,wine,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
freyburg,Germania,north_german_region,upper_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
friedberg,Germania,south_german_region,bavaria_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,beeswax,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
friedberg_hesse,Germania,north_german_region,hesse_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,salt,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
frydlant,Germania,south_german_region,bohemia_area,germania_upland_forest,hills,hills,woods,forest,continental,iron,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
fuentiduena,Rome,iberia_region,castile_area,iberian_wood_pasture_mosaic,plateau,plateau,sparse,woods,oceanic,wool,P8.6;EURO-REVEALS;IBERIA-MOLINA,contested,Non-cereal Iberian hill and plateau ground receives an open woodland or wood-pasture mosaic; cereal basins and arid mineral ground remain open.
fulda,Germania,north_german_region,hesse_area,germania_upland_forest,hills,hills,woods,forest,continental,stone,P8.7;EURO-REVEALS;BOHEMIAN-POLLEN,contested,Existing central German upland woods receive the denser forest class; this is a coarse canopy presentation rather than a local pollen estimate.
furstenberg,Germania,south_german_region,upper_rhine_area,germania_dense_woodland,plateau,plateau,woods,forest,continental,beeswax,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
gallipoliita,Rome,italy_region,apulia_area,mediterranean_cultivation,flatland,flatland,grasslands,farmland,mediterranean,olives,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
gardelegen,Germania,north_german_region,brandenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,fur,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
gegen,Steppe,mongolia_region,argun_area,steppe_forest_mosaic,plateau,plateau,forest,woods,continental,lumber,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
gendebelo,Africa,ethiopia_region,central_ethiopia_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,stone,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
gera,Germania,north_german_region,upper_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,medicaments,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
goleniow,Germania,north_german_region,pomerania_area,germania_dense_woodland,wetlands,wetlands,woods,forest,continental,lumber,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
goppingen,Germania,south_german_region,swabia_area,germania_central_mosaic,plateau,plateau,grasslands,woods,continental,stone,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
gorkovskoye,Steppe,west_siberia_region,omsk_area,steppe_forest_mosaic,flatland,flatland,forest,woods,continental,lumber,P8.8;AES-SOUTH-URAL;RAS-SARGAT-CHRON;ASU-ALTAI-KULAY;ENC-NEEU,contested,Continental flat forest is represented as a forest-steppe woodland mosaic.
gorlitz,Germania,north_german_region,upper_saxony_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,lumber,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
gotha,Germania,north_german_region,upper_saxony_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,lumber,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
grabow,Germania,north_german_region,mecklenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,livestock,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
grevesmuhlen,Germania,north_german_region,mecklenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,sand,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
grimmen,Germania,north_german_region,pomerania_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,sand,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
grosseto,Rome,italy_region,tuscany_area,mediterranean_cultivation,wetlands,wetlands,grasslands,farmland,mediterranean,wheat,P12.1;P12.3;BHR,contested,"Crop-bearing Mediterranean field receives a cultivation presentation, not a yield estimate."
gryfia_gora,Germania,north_german_region,pomerania_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,sand,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
gryfow,Germania,north_german_region,pomerania_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,wild_game,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
guanghua,China,east_china_region,hubei_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
guercif,Africa,maghreb_region,morocco_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,cold_arid,stone,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
guiyang_hengyang,China,east_china_region,hunan_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
gunnaur,India,hindustan_region,rokhilkhand_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
hadamar,Germania,north_german_region,hesse_area,germania_dense_woodland,flatland,flatland,woods,forest,continental,wild_game,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
hadjer_haddid,Africa,central_africa_region,wadai_area,african_aridity_gradient,plateau,plateau,grasslands,sparse,arid,livestock,P8.10;SOR-AFRICA-FRONTIER,contested,Arid upland non-crop field is represented as sparse rather than continuous grassland.
hagenow,Germania,north_german_region,mecklenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,clay,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
hailing,China,east_china_region,huaidong_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
haldensleben,Germania,north_german_region,brandenburg_area,germania_central_mosaic,flatland,flatland,grasslands,woods,continental,wool,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
hall,Germania,south_german_region,franconia_area,germania_central_mosaic,hills,hills,grasslands,woods,continental,salt,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
hamelin,Germania,north_german_region,lower_saxony_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,horses,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
hamm,Germania,north_german_region,westphalia_area,germania_central_mosaic,flatland,flatland,grasslands,woods,oceanic,salt,P8.7;EURO-REVEALS;NORTH-EURO-POLLEN,contested,Central German grassland field restored to a predominantly wooded Barbaricum mosaic; crop clearings and coastal or river wetlands remain open.
hanau,Germania,north_german_region,hesse_area,germania_dense_woodland,flatland,flatland,woods,forest,oceanic,lumber,P8.7;TAC-GER;STR-GER,contested,Forest-product field restored to denser ancient Germanic woodland.
hanchuan,China,east_china_region,hubei_area,asian_rice_lowland,flatland,wetlands,grasslands,farmland,subtropical,rice,P8.3;P8.4;CAH-XI;BHR,contested,Rice-bearing warm flatland represents managed alluvial or lowland cultivation.
