location,tag,region,topography,vegetation,climate,natural_harbor_suitability,installed_good,ad1_good,decision,source,confidence,note
banikoara,GUR,West Africa,flatland,grasslands,tropical,,cotton,cotton,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baniyas,PAR,Iran,hills,grasslands,mediterranean,0.25,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banjar,BOR,Southeast Asia,wetlands,forest,tropical,0.00,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bankapura,SAT,India,plateau,jungle,tropical,,pepper,pepper,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bankura,GNG,India,flatland,jungle,subtropical,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bankuy,VLT,West Africa,flatland,grasslands,tropical,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banlung,KHM,Southeast Asia,flatland,forest,tropical,,gems,gems,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bannajbur,PAR,Iran,plateau,desert,arid,,sugar,fiber_crops,regional_rule,P12.1,contested,Sugar remains rare in India and Southeast Asia only
bannoye,AOR,Pontic,flatland,grasslands,continental,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bannu,GNG,India,hills,sparse,arid,,cotton,cotton,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banon,KHM,Southeast Asia,flatland,forest,tropical,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banpu,HAN,China,wetlands,grasslands,continental,0.00,salt,salt,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banqiao,HAN,China,mountains,forest,subtropical,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bansi,GNG,India,flatland,grasslands,subtropical,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banska_bystrica,QUA,Germania,hills,forest,continental,,copper,copper,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bansko,ROM,Rome,plateau,forest,continental,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banswara,RJS,India,flatland,woods,tropical,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bantayan,INS,Southeast Asia,flatland,jungle,tropical,0.00,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banteay_chhmar,KHM,Southeast Asia,flatland,forest,tropical,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banten,JAV,Southeast Asia,flatland,woods,tropical,0.00,pepper,medicaments,regional_rule,P12.1,secure,Pepper is localized to the Malabar proxy region
banua_lawas,BOR,Southeast Asia,flatland,jungle,tropical,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
banzart_khairkhan,XIO,Steppe,plateau,desert,cold_arid,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bao_lac,HAN,China,mountains,jungle,subtropical,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baoan,HAN,China,mountains,sparse,continental,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baoan_baoan,HAN,China,mountains,woods,continental,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baoan_dongguan,HAN,China,hills,grasslands,subtropical,0.75,rice,rice,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baochang,HAN,China,hills,grasslands,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baochang_nanxiong,HAN,China,flatland,forest,subtropical,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baode,HAN,China,hills,sparse,continental,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baodi,HAN,China,flatland,grasslands,continental,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baodian,HAN,China,mountains,forest,continental,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baofeng,HAN,China,flatland,grasslands,subtropical,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baoji,HAN,China,flatland,grasslands,continental,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baojing,HAN,China,hills,woods,subtropical,,tea,tea,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baokang,HAN,China,mountains,woods,subtropical,,fiber_crops,fiber_crops,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baoning,HAN,China,flatland,woods,subtropical,0.00,pepper,medicaments,regional_rule,P12.1,secure,Pepper is localized to the Malabar proxy region
baoning_maozhou,HAN,China,mountains,woods,continental,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baotong,HAN,China,mountains,forest,continental,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baoying,HAN,China,wetlands,grasslands,subtropical,,salt,salt,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bapaume,ROM,Rome,flatland,farmland,oceanic,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baqa,BED,Arabia,plateau,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baqqa,GRH,Arabia,flatland,desert,arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baqubah,PAR,Iran,flatland,sparse,arid,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bar_cg,ROM,Rome,mountains,woods,subtropical,0.25,olives,olives,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bar_le_duc,ROM,Rome,flatland,grasslands,oceanic,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bar_sur_aube,ROM,Rome,flatland,grasslands,oceanic,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bar_sur_seine,ROM,Rome,flatland,grasslands,oceanic,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bara_iraq,PAR,Iran,flatland,sparse,mediterranean,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barabhum,GNG,India,flatland,jungle,subtropical,,medicaments,medicaments,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baragram,GNG,India,flatland,forest,subtropical,,dyes,dyes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barah,BEJ,Africa,flatland,sparse,arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barahrah,KIN,Arabia,hills,desert,arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baramulla,ISK,India,plateau,grasslands,mediterranean,,silk,fiber_crops,regional_rule,P12.1,secure,Silk sericulture remains a Chinese near-monopoly in the covered era
baran,GNG,India,flatland,farmland,arid,,silk,fiber_crops,regional_rule,P12.1,secure,Silk sericulture remains a Chinese near-monopoly in the covered era
baraqish,SAB,Arabia,plateau,desert,arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barara,AKS,Africa,plateau,grasslands,continental,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barasuru,CIN,India,flatland,jungle,tropical,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barawa,BAR,Africa,flatland,grasslands,arid,0.00,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barbacadle,BAR,Africa,flatland,sparse,arid,0.00,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barbakaabad,GNG,India,flatland,woods,subtropical,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barbastro,ROM,Rome,hills,grasslands,oceanic,,wine,wine,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barca,ROM,Rome,hills,grasslands,mediterranean,0.00,wheat,antq_silphium,direct_anchor_correction,P12.1;CAM-SIL,contested,Barca is the reviewed Cyrenaica silphium proxy
barcarrota,ROM,Rome,flatland,sparse,mediterranean,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barcelona,ROM,Rome,flatland,grasslands,mediterranean,0.25,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barcelonnette,ROM,Rome,mountains,forest,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barcelos,ROM,Rome,flatland,woods,oceanic,0.00,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barchkend,OAS,Central Asia,flatland,sparse,cold_arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barchuk,OAS,Central Asia,hills,desert,cold_arid,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barco_de_valdeorras,ROM,Rome,mountains,grasslands,oceanic,,iron,iron,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barda,ALC,Caucasus,flatland,sparse,cold_arid,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bardejov,QUA,Germania,hills,forest,continental,,fiber_crops,fiber_crops,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bardera,BAR,Africa,flatland,grasslands,arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bardhaman,GNG,India,flatland,woods,subtropical,,coal,lumber,regional_rule,P12.1;PER,contested,Surface coal use is retained only for bounded British and Han-era Chinese proxies rather than a global fuel industry
bardi,ROM,Rome,mountains,forest,oceanic,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bardodalen,NNR,Germania,mountains,sparse,arctic,0.00,stone,stone,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bardsir,PAR,Iran,hills,desert,cold_arid,,fiber_crops,fiber_crops,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bareilly,GNG,India,flatland,woods,subtropical,,elephants,elephants,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bargaal,BAR,Africa,flatland,desert,arid,0.00,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bargarh,KAL,India,flatland,jungle,tropical,,gems,gems,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bargiri,ARM,Caucasus,hills,woods,continental,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barguna,GNG,India,wetlands,jungle,tropical,0.50,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bari,ROM,Rome,flatland,farmland,cold_arid,0.25,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baria,RJS,India,hills,woods,tropical,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baripada,KAL,India,flatland,jungle,tropical,,elephants,elephants,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bariq,HIM,Arabia,hills,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baris,ROM,Rome,flatland,sparse,arid,,sugar,fiber_crops,regional_rule,P12.1,contested,Sugar remains rare in India and Southeast Asia only
barito,BOR,Southeast Asia,flatland,jungle,tropical,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barjols,ROM,Rome,plateau,woods,mediterranean,,olives,olives,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barkdiz,OAS,Central Asia,flatland,sparse,cold_arid,,fruit,fruit,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barking,TRI,Britain,flatland,grasslands,oceanic,0.20,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barkul,XIO,Steppe,plateau,desert,cold_arid,,horses,horses,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barlad,BAS,Danube,flatland,woods,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barletta,ROM,Rome,flatland,farmland,cold_arid,0.00,olives,fruit,environment_rule,P12.1;PER,secure,Olive cultivation is removed from climates outside its Mediterranean and adjacent dryland envelope.
barmaur,GNG,India,mountains,sparse,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barnaul,AKL,Steppe,flatland,forest,continental,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barnstaple,DUM,Britain,hills,sparse,oceanic,0.00,silver,silver,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baroda,RJS,India,flatland,grasslands,tropical,0.00,rice,rice,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barom,TIB,Central Asia,plateau,sparse,arctic,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baronsk,ROX,Pontic,flatland,sparse,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barpeta,GNG,India,wetlands,forest,subtropical,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barqaid,PAR,Iran,flatland,sparse,mediterranean,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barru,INS,Southeast Asia,mountains,jungle,tropical,0.00,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bars_khot,XIA,Steppe,plateau,grasslands,cold_arid,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barsalogho,VLT,West Africa,flatland,grasslands,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barskoon,WSN,Central Asia,hills,sparse,cold_arid,,tin,tin,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barten,WBB,Baltic,flatland,forest,continental,,fur,fur,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bartin,ROM,Rome,hills,forest,subtropical,0.00,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baru,MAL,Southeast Asia,wetlands,jungle,tropical,0.00,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barulo,BOR,Southeast Asia,flatland,jungle,tropical,0.00,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barun_xiabaer,XIA,Steppe,plateau,grasslands,continental,,wild_game,wild_game,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barus,MAL,Southeast Asia,flatland,jungle,tropical,0.00,medicaments,medicaments,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baruun_tar_nuur,DNG,Steppe,plateau,grasslands,continental,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barvinkove,ROX,Pontic,flatland,grasslands,continental,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baryang,TIB,Central Asia,plateau,sparse,arctic,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barysaw,BLR,Eastern Europe,flatland,forest,continental,,fur,fur,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
barza,ATR,Iran,mountains,sparse,continental,,fiber_crops,fiber_crops,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basand,YUE,Central Asia,hills,sparse,cold_arid,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basavana_bagewadi,SAT,India,plateau,sparse,arid,,clay,clay,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basavapattana,SAT,India,hills,forest,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basel,ROM,Rome,hills,woods,oceanic,,wheat,wheat,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bashagard,PAR,Iran,mountains,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bashqurtaran,PAR,Iran,plateau,sparse,cold_arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basht,PRS,Iran,mountains,woods,mediterranean,,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bashtanka,ROX,Pontic,flatland,grasslands,cold_arid,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basim,SAT,India,flatland,grasslands,tropical,,sugar,sugar,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basingstoke,ATB,Britain,flatland,grasslands,oceanic,,wool,wool,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basithah,AGR,Arabia,flatland,desert,arid,,sand,sand,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baskale,ARM,Caucasus,mountains,forest,continental,,stone,stone,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
baskamyr,OAS,Central Asia,flatland,grasslands,cold_arid,,copper,copper,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basna,KAL,India,flatland,jungle,tropical,,cotton,cotton,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basra,PAR,Iran,flatland,desert,arid,,sugar,fiber_crops,regional_rule,P12.1,contested,Sugar remains rare in India and Southeast Asia only
basra_al_hamra,MAU,Africa,hills,woods,mediterranean,,olives,olives,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bassano,ROM,Rome,flatland,woods,subtropical,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bassein,SAT,India,hills,farmland,tropical,0.00,fiber_crops,fiber_crops,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bastak,PRS,Iran,mountains,desert,arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bastam,PAR,Iran,plateau,desert,cold_arid,,livestock,livestock,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bastar,CIN,India,plateau,grasslands,tropical,,legumes,legumes,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basti,GNG,India,flatland,grasslands,subtropical,,millet,millet,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bastia,ROM,Rome,mountains,woods,mediterranean,0.25,fish,fish,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
bastogne,ROM,Rome,hills,forest,continental,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
basud,PHL,Southeast Asia,flatland,jungle,tropical,0.00,beeswax,beeswax,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
batala,GNG,India,flatland,grasslands,subtropical,,sugar,sugar,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
batan,PHL,Southeast Asia,wetlands,jungle,tropical,0.00,pearls,pearls,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
batang,TIB,Central Asia,mountains,woods,arctic,,rice,millet,regional_rule,P12.1;PER,contested,Rice remains in established Asian and West African cultivation zones with an Iranian irrigated proxy
batang_tabir,MAL,Southeast Asia,flatland,jungle,tropical,,lumber,lumber,retained_after_period_environment_screen,P12.1;PER,contested,Period-valid broad resource retained after regional and environmental screen; this is not a claim of location-specific attested extraction.
