granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
location,a_keis,nama_province,land,Gariep Namaqua Hunter Karst,Khoekhoe-derived local name / English,local-name landscape construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The indigenous place-name is retained within a nonurban plateau frame.,false
location,achit_nuur,khovd_province,land,Xiongnu Achit–Khovd Pastures,Xiongnu ethnonym / local lake and hydronym,people-paired-water construction,installed:in_game/map_data/location_templates.txt;HAN-WR,high,The lake pastures belonged to the western Xiongnu steppe sphere.,false
location,acholi,albert_nile_province,land,Urewe Achwa–Albert-Nile Lands,archaeological culture name / local hydronyms,culture-paired-water construction,installed:in_game/map_data/location_templates.txt;QI-EAFRICA,medium,Urewe-related iron-working communities occupied parts of the upper Nile lake corridor.,false
location,achomawi,klamath_province,land,Pit-River–Klamath Archaic,local hydronym and regional name / archaeological period,paired-feature period construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Hunter-fisher communities occupied the Pit River and Klamath hill country.,false
location,aco,anbamba_province,land,Early-Intermediate Aco,Andean archaeological period / local place name,period-feature construction,installed:in_game/map_data/location_templates.txt;MET-ANDES-1500,medium,The highland district belonged to a regionally varied Early Intermediate landscape.,false
location,aconca_hue,pikunmapu_province,land,Bato Aconcagua Highland,archaeological culture name / local valley name,culture-feature settlement construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Bato-period communities occupied central Chile around the campaign date.,false
location,aconcagua_volcano,pikunmapu_province,land,Akon-Kahuak High Peak,indigenous-derived mountain name / English,local-name feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The high peak is separated from inhabited Bato-period valleys below.,false
location,aconchi,tahejoc_province,land,Ancestral Sonoran Aconchi,archaeological regional label / local place and hydronym,group-paired-feature construction,installed:in_game/map_data/location_templates.txt;NPS-SONORAN,high,Farming communities occupied Sonoran river valleys before the later Hohokam pattern.,false
location,aconquija,lule_province,land,Diaguita Calchaquí Andean,archaeological culture names / local massif name,paired-culture feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The Aconquija uplands lay amid contemporary northwest Argentine village traditions.,false
location,acoroazes,grande_province,land,Araguaia–Xingu Ceramic,local hydronyms / archaeological English,paired-water settlement construction,installed:in_game/map_data/location_templates.txt;SA-EXPANSIONS,medium,Ceramic horticultural communities occupied the Brazilian interior riverlands.,false
location,acqui,monferrato_province,land,Aquae Statiellae,Latin Roman place-name,attested ancient settlement name,installed:main_menu/localization/english/location_names/location_names_l_english.yml;PER,high,Aquae Statiellae was the Roman thermal settlement at modern Acqui.,false
location,acre,filastin_province,land,Ptolemais in Phoenice,Greek Roman-era place-name / Latin regional name,attested center-region construction,installed:main_menu/localization/english/location_names/location_names_l_english.yml;PER,high,Ptolemais was the Roman name of the port later called Acre.,false
location,acroas,tocantins_province,land,Tocantins–Parnaíba Ceramic,local hydronyms / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;SA-EXPANSIONS,medium,Ceramic horticultural communities occupied the eastern Brazilian interior.,false
location,acteon,tuamotu_province,land,Acteon–Marutea Archipelago,indigenous island names / English,documented-unpeopled paired-island construction,installed:in_game/map_data/location_templates.txt;CAM-LAP,medium,The southeastern Tuamotus were not yet permanently settled in AD 1.,false
location,acu_lagoon,pindorama_coastal_sea_zones_province,sea,Acu-Jaguaribe Estuary,local hydronyms,paired-water maritime construction,installed:in_game/map_data/location_templates.txt;SA-EXPANSIONS,medium,The lagoon waters fronted coastal fishing and horticultural communities.,false
location,acuera,jororo_province,land,Deptford St-Johns–Oklawaha,archaeological culture name / local hydronyms,culture-paired-water construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Deptford and related Woodland communities occupied northern peninsular Florida.,false
location,ad_dahna1,hail_province,land,Northern Nafud–Dahna Red Sands,local desert names / English,directional paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,The northern red-sand belt linked the Nafud with the Dahna corridor.,false
location,ad_dahna2,sudair_province,land,Northern Sudair Dahna Dunes,local regional and desert names / English,directional feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,This sector marks the northern Dahna dunes east of Sudair.,false
location,ad_dahna3,sudair_province,land,Southern Sudair Dahna Dunes,local regional and desert names / English,directional feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,This distinct southern sector follows the red-sand corridor toward Yamama.,false
location,ad_dahna4,nita_province,land,Yamama Western-Dahna Dunes,ancient regional name / local desert name,directional region-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,The dune belt formed the eastern desert margin of Yamama.,false
location,ad_dahna5,yabrin_province,land,Yabrin Southern-Dahna Dunes,local oasis and desert names,directional paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,The southern Dahna approached the Yabrin oasis corridor.,false
location,ad_dawasir,dawasir_province,land,Wadi Oasis Arabian Chalk,Arabic hydronym / English,feature route construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,The wadi oases supported settlement and movement across southern Najd.,false
location,ad_dibdibah,batin_province,land,Characene Dibdibah Gravel,ancient polity name / local desert name,polity-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The gravel plain formed the desertward edge of lower Mesopotamia and Characene.,false
location,ad_dilam,yamama_province,land,Yamama Al-Kharj Wells,ancient regional name / local oasis name,region-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The wells anchored the southern Yamama oasis landscape before the later town.,false
location,ad_disah,duba_province,land,Nabataean Wadi al-Disah,ancient polity adjective / local wadi name,polity-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,The sandstone valley lay within the Nabataean northwestern Arabian sphere.,false
location,ad_dughmiyah,turbah_province,land,Kinda Turbah Wajj Flint Breaks,local regional and place names,paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The uplands linked Turbah's wells with the Sarat escarpment.,false
location,adachi,iwase_province,land,Yayoi Abukuma–Adachi Uplands,archaeological period / local river and place names,period-paired-feature construction,installed:in_game/map_data/location_templates.txt;ISIJ-YAY,medium,Yayoi communities occupied the Abukuma-facing uplands.,false
location,adachi_kanto,musashi_province,land,Yayoi Arakawa–Tone Lowlands,archaeological period / local hydronyms,period-paired-water construction,installed:in_game/map_data/location_templates.txt;ISIJ-YAY,medium,Yayoi farming communities occupied the river lowlands of eastern Honshu.,false
location,adakli,harput_province,land,Sophene Arsamosata–Euphrates,ancient regional and place names / ancient hydronym,region-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,The highlands belonged to Sophene near Arsamosata and the upper Euphrates.,false
location,adalaga,izium_province,land,Sarmatian Donets–Oskol Plain,ancient ethnocultural label / local hydronyms,group-paired-water construction,installed:in_game/map_data/location_templates.txt;WIL-SAR,medium,Sarmatian groups ranged through the eastern forest-steppe river corridor.,false
location,adams_bridge,pandya_nadu,land,Setubandha Shoals,Sanskrit feature-name / English,attested ancient geographic construction,installed:in_game/map_data/location_templates.txt;PER,high,Setubandha is the ancient Indian name for the shoal chain between Tamilakam and Lanka.,false
location,adan,aden_province,land,Eudaemon Arabia Harbor,Ancient Greek port-name,attested ancient settlement name,installed:main_menu/localization/english/location_names/location_names_l_english.yml;PER,high,Eudaemon Arabia was the classical name for the port of Aden.,false
location,adana,adana_province,land,Antiochia ad Sarum,Latin Roman-era place-name,attested ancient settlement name,installed:main_menu/localization/english/location_names/location_names_l_english.yml;PER,high,Antiochia ad Sarum was the Roman name of Adana on the Sarus.,false
location,adang_bay,paser_coast_sea_province,sea,Paser–Adang Inland Waters,local regional and bay names,paired-feature maritime construction,installed:in_game/map_data/location_templates.txt;ANTH-KAL-IRON,medium,The sheltered waters served Metal Age communities of southeastern Borneo.,false
location,adanki,kamma_nadu,land,Satavahana Kamma–Krishna Plain,ancient dynastic name / local regional name and hydronym,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,The lower Krishna plain belonged to the Satavahana Andhra sphere.,false
location,adare,limerick_province,land,Iverni Maigue–Shannon Lands,Latinized ancient ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,medium,The Maigue and Shannon corridor lay within the southwestern Irish sphere associated with the Iverni.,false
location,addu_atoll,maldives_province,land,Māle Dīva Chain Loess Reach,early island ethnonym / local atoll name,people-island construction,installed:in_game/map_data/location_templates.txt;PER,medium,Indian Ocean island communities inhabited Addu before later sultanate organization.,false
location,addu_coast,maldives_coastal_sea_zones_province,sea,Addu Equatorial Reef Waters,local atoll name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;PER,medium,The reef waters supported the southern island communities and ocean route.,false
location,adena,kentucky_province,land,Adena Ohio–Kentucky Moundlands,archaeological culture name / local regional names,culture-paired-feature construction,installed:in_game/map_data/location_templates.txt;NPS-HOPEWELL,medium,Adena traditions preceded and overlapped the opening Hopewell interaction horizon.,false
location,adeqiu,lanzhou_province,land,Qiang Tao–Yellow-River,Han-era ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;HAN-WR,medium,Qiang communities occupied the highland approaches west of Han commanderies.,false
location,aderbissinat,marandet_province,land,Aïr–Tamesna Pastoral Wells,local regional names / English,paired-feature subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Saharan pastoral communities followed the wells between Aïr and Tamesna.,false
location,adham,hali_province,land,Sabaean Tihama–Sarat Passage,ancient polity name / local regional names,polity-paired-feature route construction,installed:in_game/map_data/location_templates.txt;PER,medium,The passage connected the Red Sea lowland with the southwestern Arabian highlands.,false
location,adigrat,enderta_province,land,Aksumite Tigray Aksum Granite,ancient polity name / local regional and place names,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The northern Tigrayan highlands formed part of early Aksum's regional sphere.,false
location,adilabad,sirpur_province,land,Satavahana Penganga–Godavari,ancient dynastic name / local hydronyms,polity-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,medium,The forested tributary lands belonged to the northern Deccan Satavahana sphere.,false
location,adirondacks,adirondacks_province,land,Point-Peninsula Adirondack,archaeological tradition / local massif name,culture-feature construction,installed:in_game/map_data/location_templates.txt;OAS-POINT,medium,Middle Woodland communities used the Adirondack lake and upland corridors.,false
location,adixoodagoorahareesh,awatixa_province,land,Middle-Woodland Knife–Heart,archaeological period / local hydronyms,period-paired-water construction,installed:in_game/map_data/location_templates.txt;NPS-HOPEWELL,medium,Plains Woodland communities occupied the Missouri tributary valleys around AD 1.,false
location,adjud,barlad_province,land,Carpi Siret–Trotuș Ford,Latinized ancient ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,medium,The river ford lay in the eastern Carpathian sphere associated with the Carpi.,false
location,adlur,warangal_province,land,Satavahana Telangana–Godavari,ancient dynastic name / local regional name and hydronym,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The inland plain formed part of the eastern Deccan Satavahana sphere.,false
location,admiralty_sound,kawesqar_coast_sea_zones_province,sea,Kawesqar–Karukinka Channel,indigenous ethnonym / local geographic names,people-paired-feature maritime construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Maritime hunter communities used the channels between Otway water and the Magellan strait.,false
location,ado_ekiti,north_benin_province,land,Owo Nok Successor Sandstone,local regional name and hydronym / archaeological English,paired-feature archaeological construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Iron Age farming communities occupied the wooded Yoruba uplands before later towns.,false
location,adoni,northern_rayalaseema,land,Satavahana Raichur Plain,ancient dynastic name / local hydronym and regional name,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,medium,The plain lay on the southern edge of the Satavahana Deccan sphere.,false
location,adony,fejer_province,land,Pannonia Vetus-Salina–Danubius,Latin provincial and place names / ancient hydronym,region-center-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,Vetus Salina was a Roman Danubian settlement at the site of Adony.,false
location,adra,granada_province,land,Abdera of Baetica,Latinized Phoenician place-name / Roman provincial name,attested center-region construction,installed:main_menu/localization/english/location_names/location_names_l_english.yml;PER,high,Abdera was the ancient coastal settlement corresponding to Adra.,false
location,adrada,avila_province,land,Vettones Alberche–Tiétar Hills,Latinized Iberian ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;PER,high,The hill corridor lay in the territory of the Vettones.,false
location,adranos,hudavendigar_province,land,Mysian Rhyndacus–Olympus Hills,ancient regional name / ancient hydronym and mountain name,region-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER,high,The hills south of the Rhyndacus belonged to Mysia before the later settlement name.,false
location,adrar,gourara_province,land,Garamantian Touat–Gourara,ancient ethnonym / local oasis-region names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,The western oasis chain participated in trans-Saharan exchange beyond the Garamantian core.,false
location,adraskan,adraskan_province,land,Parthian Aria Adraskan–Hari,ancient polity and regional names / local place and hydronym,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;HAN-WR,high,The Hari valley belonged to Aria within the Parthian realm.,false
location,adshusheer,waxhaw_province,land,Catawba Wateree,archaeological period / local hydronyms,period-paired-water construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Woodland communities occupied the paired Carolina river basins.,false
location,aduma,north_sangha_province,land,Sangha–Likouala Hunter-Fisher,local hydronyms / archaeological English,paired-water subsistence construction,installed:in_game/map_data/location_templates.txt;JAH-BANTU-MOBILITY,medium,Forest hunter-fisher and emerging farmer communities shared the northern Congo basin.,false
location,adwa,tigray_province,land,Aksumite Aksum Heartland,ancient polity name / local place and hydronym,polity-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,The Adwa highlands lay close to the core of the early Aksumite kingdom.,false
location,adyukh,labinsk_province,land,Maeotae Laba–Kuban Foothills,ancient ethnonym / local hydronyms,people-paired-water construction,installed:in_game/map_data/location_templates.txt;STR-CAUC,medium,The northwestern Caucasian foothills bordered the Maeotian cultural sphere.,false
location,adyumba,ogoowe_benje_province,land,Ogooué–Ngounié Forest,local hydronyms / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;JAH-BANTU-MOBILITY,medium,Early iron-working and foraging communities occupied the Gabonese river forest.,false
location,adzera,adzera_province,land,Adzera–Markham Highland,Papuan local name and hydronym / English,paired-feature settlement construction,installed:in_game/map_data/location_templates.txt;JPA-PAPUA,medium,Horticultural villages occupied the Markham valley and adjoining uplands.,false
location,aekyom,iwur_province,land,Aekyom–Fly River Villages,Papuan ethnonym / local hydronym,people-feature settlement construction,installed:in_game/map_data/location_templates.txt;JPA-PAPUA,medium,Papuan horticultural communities occupied the upper Fly watershed.,false
location,aerzhai,ordos_province,land,Xiongnu Ordos–Mu-Us Pastures,Xiongnu ethnonym / local regional and desert names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;HAN-WR,high,The Ordos loop and Mu Us edge belonged to the Xiongnu pastoral sphere.,false
location,afade,mser_province,land,Chari–Lake-Chad Plain,local hydronym and lake name / archaeological English,paired-water archaeological construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Iron Age farming and fishing communities occupied the southeastern lake plain.,false
location,afanasyevo,omutninsk_province,land,Glyadenovo Upper-Kama Forest,archaeological culture name / local hydronym,culture-feature construction,installed:in_game/map_data/location_templates.txt;ENC-NEEU,high,Glyadenovo communities occupied the Kama forest zone around AD 1.,false
location,afif,afif_province,land,Wādī al Rummah Spruce Terraces,local regional and place names / English,paired-feature subsistence construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Pastoral communities used the wells across the central Arabian plateau.,false
location,afikpo,east_igbo_province,land,Cross-River–Ebonyi Country,local hydronym and regional name / archaeological English,paired-feature archaeological construction,installed:in_game/map_data/location_templates.txt;MET-IRON,medium,Iron Age farming communities occupied the Cross River interior.,false
location,afmadow,jubaland_province,land,Azanian Juba–Lamu Hinterland,Ancient Greek regional term / local hydronym and coastal name,region-paired-feature construction,installed:in_game/map_data/location_templates.txt;PER;QI-EAFRICA,medium,The lower Juba plain formed the hinterland of the Azanian coast.,false
location,afrera,dobea_province,land,Afar Chercher Pastoral Alder,ancient ethnonym / local lake and regional names,people-paired-feature construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium,Pastoral communities associated with the Dobe'a used the salt-basin margin.,false
location,african_high_sea1,namibe_coast_province,sea,Kunene–Namibe Outer Waters,local hydronym and coastal name,paired-feature maritime construction,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high,The ocean sector lies beyond the Kunene and Namibe coast.,false
location,african_high_sea10,good_hope_cape_coast_province,sea,Namaqua Outer Waters,indigenous regional name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This offshore sector fronts the Namaqualand coast.,false
location,african_high_sea11,good_hope_cape_coast_province,sea,Northwestern Hoerikwaggo Sea,local bay name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This offshore sector approaches the Table Bay coast.,false
location,african_high_sea12,good_hope_cape_coast_province,sea,Cape-Peninsula Outer Waters,local geographic name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This ocean sector lies west of the Cape Peninsula.,false
location,african_high_sea13,good_hope_cape_coast_province,sea,Agulhas Outer Waters,local cape name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This ocean sector follows the Agulhas approach south of the cape.,false
location,african_high_sea14,goringhaikona_coast_sea_province,sea,Goringhaikona–False-Bay Outer,indigenous community name / local bay name,people-feature maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This offshore sector fronts the southwestern Cape communities.,false
location,african_high_sea15,goringhaikona_coast_sea_province,sea,Overberg Outer Waters,local regional name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This ocean sector fronts the southern Cape coastal shelf.,false
location,african_high_sea16,goringhaikona_coast_sea_province,sea,Southern-Cape Outer Waters,English geographic description,directional maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This distinct sector lies beyond the central southern Cape coast.,false
location,african_high_sea17,goringhaikona_coast_sea_province,sea,Algoa Outer Waters,local bay name / English,feature maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This ocean sector approaches Algoa Bay and the southeastern Cape.,false
location,african_high_sea18,umgungundlovu_coast_sea_province,sea,Thukela–Umgeni Outer Waters,local hydronyms,paired-water maritime construction,installed:in_game/map_data/location_templates.txt;OUP-SOUTH-AFRICA,high,This ocean sector fronts the Thukela and Umgeni coastal riverlands.,false
