granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
"province","passamaquoddy_province","maine_area","land","Early-Ceramic Schoodic–Machias Lands","archaeological English / indigenous geographic names","horizon-paired-landmark construction","GEO-PROXY;https://scholarlypress.si.edu/store/all/subsistence-economies-of-indigenous-north-american-societies-a-handbook/","medium","Early Ceramic communities along the Schoodic and Machias coast predate the historic Passamaquoddy political landscape.","false"
"province","podrinje_province","bosnia_area","land","Daesitiates–Autariatae Drina Lands","Latinized Illyrian ethnonyms / local hydronym / English","attested peoples-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+7.5&fromdoc=Perseus%3Atext%3A1999.01.0198","medium","The Drina uplands lay between Daesitiate and Autariatan-derived communities before medieval Podrinje.","false"
"province","pohnpei_province","chuuk_area","land","Pohnpei–Mokil Oceanic","local island names / English","paired-island community construction","GEO-PROXY;https://www.britannica.com/place/Pohnpei","medium","Settled high-island and atoll communities in the eastern Carolines predate later Saudeleur political organization.","false"
"province","pokemaga_province","wisconsin_area","land","Hopewell Mississippi–Chippewa Lands","archaeological name / indigenous hydronyms / English","horizon-paired-river construction","GEO-PROXY;https://www.nps.gov/hocu/learn/historyculture/index.htm","medium","Hopewell-era exchange reached Middle Woodland communities along the upper Mississippi and Chippewa around AD 1.","false"
"province","pologoye_zaymishche_province","astrakhan_area","land","Aorsi Lower-Volga–Elton Steppe","Latinized Iranian ethnonym / local hydronym and lake name / English","attested people-paired-landmark construction","GEO-PROXY;WIL-SAR","high","The lower Volga and Lake Elton steppe belonged to the Aorsi and broader Sarmatian world.","false"
"province","polotsk_province","white_ruthenia_area","land","Dnieper–Dvina Upper-Dvina Lands","archaeological name / local hydronym / English","horizon-river construction","GEO-PROXY;ENC-NEEU","high","Dnieper–Dvina culture communities occupied the upper Dvina basin around AD 1 before medieval Polotsk.","false"
"province","poltava_province","left_bank_ukraine_area","land","Zarubintsy Vorskla–Psel Marches","archaeological name / local hydronyms / English","horizon-paired-river frontier construction","GEO-PROXY;RAS-ZAR","medium","The Vorskla and Psel forest-steppe formed an eastern Zarubintsy frontier beside Sarmatian networks.","false"
"province","pomo_province","california_area","land","Mendocino–Clear-Lake Archaic Lands","local geographic names / archaeological English","paired-landmark horizon construction","GEO-PROXY;https://www.nps.gov/pore/learn/historyculture/people_coastmiwok.htm","medium","Long-established Archaic and emerging regional traditions around Mendocino and Clear Lake predate the historic Pomo ethnolinguistic map.","false"
"province","pomorye_province","pomorye_area","land","Finnic White-Sea–Vygozero Lands","linguistic English / local sea and lake names","people-paired-water construction","GEO-PROXY;ENC-NEEU","medium","Finnic and related Early Metal Period communities occupied the White Sea–Vygozero corridor before Russian Pomorye.","false"
"province","pongau_province","salzburg_area","land","Ambisontes Enns–Salzach Lands","Latinized Celtic ethnonym / local hydronyms / English","attested people-paired-river construction","GEO-PROXY;https://www.perseus.tufts.edu/hopper/text?doc=Strab.+4.6&fromdoc=Perseus%3Atext%3A1999.01.0239","high","The Ambisontes occupied the Enns–Salzach Alpine corridor within Roman Noricum.","false"
"province","ponil_province","ural_area","land","Glyadenovo Pelym–Tavda Forests","archaeological name / local hydronyms / English","horizon-paired-river ecology construction","GEO-PROXY;ENC-NEEU","medium","Glyadenovo-related and neighboring Ugric forest communities occupied the Pelym–Tavda corridor around AD 1.","false"
