design_tag,engine_tag,name,kind,technical_rank,government_context,presentation_class,display_rank,ruler_title,source,confidence,note
VOT,VOT,Votadini,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SEL,SEL,Selgovae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NOV,XEZ,Novantae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DAM,XFA,Damnonii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VCN,VCN,Venicones,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TAE,XFB,Taexali,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
EPD,EPD,Epidii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VAC,VAC,Vacomagi,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DCT,DCT,Decantae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CAE,XFC,Caereni,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CRE,CRE,Creones,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CNA,XFD,Carnonacae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
LGB,LGB,Lugi,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SME,XFE,Smertae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NCR,NCR,Cornavii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CAL,CAL,Caledoni,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II2;MANN-BRI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VNI,VNI,Vennicnii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
RHB,RHB,Rhobogdii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DAR,DAR,Darini,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ERD,ERD,Erdini,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ULA,XCC,Voluntii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NAG,XFF,Nagnatae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AUT,AUT,Autini,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GAN,GAN,Gangani,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VEL,XFG,Velabri,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
IVN,IVN,Iverni,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
USD,USD,Usdiae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
IBG,IBG,Hibernian Brigantes,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CND,XFH,Coriondi,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MNP,XFI,Manapii,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CCI,CCI,Cauci,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
EBL,EBL,Eblani,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;PTO-GEO-II1;DARCY-IRE,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DAC,DAC,Dacian Kingdoms,country,rank_kingdom,tribe,kingdom,Kingdom,King/Queen,P8.7;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GET,GET,Getae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BAS,XCD,Bastarnae,sop,rank_county,tribe,people,People,Leader/Leader,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
IAZ,IAZ,Iazyges,country,rank_kingdom,tribe,realm,Realm,Ruler/Ruler,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ROX,ROX,Roxolani,country,rank_kingdom,tribe,realm,Realm,Ruler/Ruler,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AOR,AOR,Aorsi,country,rank_kingdom,tribe,realm,Realm,Ruler/Ruler,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SIR,XCE,Siraces,country,rank_kingdom,tribe,realm,Realm,Ruler/Ruler,P8.7;CAH-XI;PLE,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ALA,XCF,Alans,country,rank_kingdom,tribe,realm,Realm,Ruler/Ruler,P8.7;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KNG,XCI,Kangju,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.8;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WSN,WSN,Wusun,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.8;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DAY,DAY,Dayuan,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.8;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SOG,SOG,Sogdian Cities,sop,rank_county,monarchy,polities,Lands,Leading House/Leading House,P8.8;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KHW,KHW,Khwarazm,country,rank_kingdom,monarchy,realm,Realm,Ruler/Ruler,P8.8;CHG,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
XIA,XIA,Xianbei,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.8;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WHU,WHU,Wuhuan,country,rank_kingdom,tribe,people,People,Leader/Leader,P8.8;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DNG,XCJ,Dingling,sop,rank_county,tribe,people,People,Leader/Leader,P8.8;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PYU,PYU,Pyu Cities,sop,rank_county,tribe,polities,Lands,Leading House/Leading House,P8.9;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MON,XCK,Mon Precursors,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.9;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KHM,XCL,Proto-Khmer,sop,rank_county,tribe,people,People,Leader/Leader,P8.9;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MAL,XCM,Malay Polities,sop,rank_county,tribe,polities,Lands,Leading House/Leading House,P8.9;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
JAV,JAV,Javanese Polities,sop,rank_county,tribe,polities,Lands,Leading House/Leading House,P8.9;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
LZC,LZC,Northwest Luzon Coastal Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CXR,CXR,Central Luzon River Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MBL,XGX,Manila Bay-Laguna Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BCP,BCP,Bicol Peninsula Metal-Age Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MDR,XGY,Mindoro Maritime Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,ATENEO-MINDORO;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PNY,PNY,Panay Metal-Age Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NGR,XGZ,Negros Metal-Age Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CBH,XHA,Cebu-Bohol Island Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-KALANAY;BELLINA-SHK,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PLW,PLW,Palawan Cave-Coast Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-TABON;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
AGS,AGS,Agusan River Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
LNO,XHB,Lanao Coast-Lake Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PCT,XHC,Pulangi-Cotabato Basin Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MTT,MTT,Maitum-Sarangani Mortuary Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,CCP-MAITUM;NMP-PH-JARS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ZBG,ZBG,Zamboanga Peninsula Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SLU,SLU,Sulu Island Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NBR,NBR,Niah-Brunei Bay Cave-River Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,ANU-NIAH-METAL;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
RSW,RSW,Rajang-Sarawak Coastal Networks,sop,rank_county,tribe,people,People,Leader/Leader,ANU-NIAH-METAL;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KSB,KSB,Kinabatangan-Sabah Littoral Networks,sop,rank_county,tribe,people,People,Leader/Leader,MYH-BUKIT-TENGKORAK;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NEB,NEB,Northeast Borneo River-Sea Networks,sop,rank_county,tribe,people,People,Leader/Leader,QSR-LIANG-JON;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SGK,SGK,Sangkulirang Karst Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,QSR-LIANG-JON;QINT-LIANG-ABU;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MHK,XDM,Mahakam River Networks,sop,rank_county,tribe,people,People,Leader/Leader,QSR-LIANG-JON;QINT-LIANG-ABU;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KPM,KPM,Kapuas-Melawi River Networks,sop,rank_county,tribe,people,People,Leader/Leader,ANTH-KAL-IRON;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
WBC,WBC,Western Borneo Coastal Networks,sop,rank_county,tribe,people,People,Leader/Leader,ANU-NIAH-METAL;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CSB,XGL,Central-Southern Borneo River Networks,sop,rank_county,tribe,people,People,Leader/Leader,ANTH-KAL-IRON;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BPR,XGM,Banjar-Paser River-Coast Networks,sop,rank_county,tribe,people,People,Leader/Leader,ANTH-KAL-IRON;P8.9,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TON,XCO,Tonga-Samoa-Fiji,sop,rank_county,tribe,people,People,Leader/Leader,P8.9;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TEO,XCQ,Teotihuacan,country,rank_kingdom,tribe,city_state,City-State,First Magistrate/First Magistrate,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CUI,XCR,Cuicuilco,country,rank_kingdom,tribe,city_state,City-State,First Magistrate/First Magistrate,P8.10;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MAY,XCS,Early Maya Polities,country,rank_kingdom,monarchy,league,League,Presiding Leader/Presiding Leader,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ZAP,XCU,Monte Alban,country,rank_kingdom,monarchy,city_state,City-State,First Magistrate/First Magistrate,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
EPI,XCV,Epi-Olmec,sop,rank_county,tribe,people,People,Leader/Leader,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NYS,XGU,Nayarit Shaft-Tomb Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-WEST-SHAFT,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TJC,TJC,Central Jalisco Teuchitlan Networks,sop,rank_county,tribe,people,People,Leader/Leader,INAH-TEUCHITLAN,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SJB,SJB,Southern Jalisco Basin Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-WEST-SHAFT;INAH-COLIMA,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
COL,XGV,Colima-Coahuayana Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-COLIMA,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BJC,BJC,Chupicuaro-Bajio Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-CHUPICUARO,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PHC,PHC,Patzcuaro Highland Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-WEST-MEXICO,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MBC,MBC,Central Michoacan Basin Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-WEST-MEXICO;INAH-CHUPICUARO,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TVC,TVC,Toluca Valley Formative Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-TOLUCA,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MZC,MZC,Mezcala-Balsas Preurban Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-MEZCALA,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
JZH,JZH,Jalisco-Zacatecas Highland Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,INAH-WEST-SHAFT;INAH-WEST-MEXICO,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SDR,XGW,Ancestral Sonoran Desert Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NPS-SONORAN,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
VIR,VIR,Gallinazo Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;PNAS-VIR;WIL-GAL,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
NAZ,NAZ,Nazca,country,rank_kingdom,monarchy,city_state,City-State,First Magistrate/First Magistrate,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
LIM,XCW,Lima Culture,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
REC,REC,Recuay,country,rank_kingdom,monarchy,city_state,City-State,First Magistrate/First Magistrate,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TIW,TIW,Early Tiwanaku,country,rank_kingdom,monarchy,city_state,City-State,First Magistrate/First Magistrate,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CHI,XCX,Chibchan Societies,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
HOP,XCY,Hopewell Sphere,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
BSK,XCZ,Basketmaker II,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
DOR,DOR,Dorset,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PPA,PPA,Adirondack-St Lawrence Point Peninsula Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NYSM-POINT;OAS-POINT;NPS-HOPEWELL,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MHP,MHP,Mohawk Valley Point Peninsula Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NYSM-POINT;OAS-POINT;NPS-HOPEWELL,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
FLP,FLP,Finger Lakes Point Peninsula Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NYSM-POINT;OAS-POINT;NPS-HOPEWELL,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
HVI,HVI,Havana-Illinois Valley Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,ISAS-HAVANA;ISM-DICKSON;NPS-HOPEWELL,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ABW,XHH,American Bottom Middle Woodland Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,ISAS-AMBOTTOM;NPS-HOPEWELL,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CMW,CMW,Central Mississippi Woodland Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NPS-OZARK-HOPEWELL;MOSHPO-CMO,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
MRW,XHI,Meramec-Missouri Woodland Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,NPS-OZARK-HOPEWELL;MOSHPO-CMO,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
KCP,KCP,Lower Missouri Hopewell Communities,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,MOSHPO-KC;NPS-OZARK-HOPEWELL,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PAC,XDH,Pacific Coast Societies,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ARA,XDB,Arawak Societies,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
TUP,XDC,Tupi Societies,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CAR,XDD,Carib Societies,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.10;CAH-XI,secure,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
CAU,XDI,Caucasian Highland Societies,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,P8.2;CAH-XI,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GER,XDK,Angrivarii,sop,rank_county,tribe,people,People,Leader/Leader,TAC-ANN-II;TAC-GER;OCD-GER,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
ARI,XFZ,Aria,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,IRAN-ARIA;P8.2;P8.8,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
YNC,YNC,Yancai,country,rank_kingdom,tribe,realm,Realm,Ruler/Ruler,HAN-WR;UNESCO-CA-NOMADS;WIL-SAR,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SRY,SRY,Saryarka Late Iron-Age Horizon,sop,rank_county,tribe,communities,Lands,Spokesperson/Spokesperson,UNESCO-CA-NOMADS;WIL-SAR,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
GMU,GMU,Gumo,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,HAN-WR;IRAN-AKS,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
QIM,XGA,Qiemo,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,HAN-WR,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
YQI,YQI,Yanqi,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,HAN-WR;HHS-WR,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
SHC,SHC,Shache,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,HAN-WR;IRAN-YAR,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
PUL,PUL,Puli,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,HAN-WR,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
FJS,FJS,Further Jushi,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,HAN-WR;HHS-WR,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
IWL,IWL,Yiwulu,subject,rank_kingdom,monarchy,client_kingdom,Client Kingdom,King/Queen,HAN-WR;IRAN-CT,contested,Numeric rank retained for engine balance; explicit flavor resolver prevents medieval raw-rank presentation.
